text,segmented_text,gloss,translation,detailed_gloss
"['Kwand', ""xink'uli'k',+""]","['kwand', 'x', 'in-', ""k'uli'"", '-ik']","['adv', 'tam', 'pers', 'vi', 'suf']","['Cuando', 'me', 'casÃ©.']","['adv', 'COM#tam', '#', 'A1S#pers', 'vi', 'SC#suf']"
"['re', 'Ã³jr', 'taq', 'tziij', 'in', ""Ã¡k'el"", 'na.+']","['re', 'Ã³jor', 'taq', 'tziij', 'in', ""Ã¡k'el"", 'na']","['part', 'adv', 'pl', 's', 'pers', 's', 'part']","['(Antes', 'todavÃ\xada', 'era', 'niÃ±a)', 'cuando', 'era', 'niÃ±a.']","['PART#part', 'adv', 'PL#pl', 's', 'A1S#pers', 's', 'part']"
"['Tos', 're', 'kond', ""xink'uli'"", ""b'ik,"", 'de', 'katorse', 'yaaÃ±,+']","['entoons', 're', 'kwand', 'x', 'in-', ""k'uli'"", ""b'ik"", 'de', 'katorse', 'aÃ±o']","['adv', 'part', 'adv', 'tam', 'pers', 'vi', 'dir', 'prep', 'num', 's']","['Cuando', 'me', 'casÃ©', 'de', 'catorse', 'aÃ±os.']","['adv', 'PART#part', 'adv', 'COM#tam', '#', 'A1S#pers', 'vi', 'DIR#dir', 'prep', 'num', 's']"
"['kond', ""xink'uli'k'+""]","['kwand', 'x', 'in-', ""k'uli'"", '-ik']","['adv', 'tam', 'pers', 'vi', 'suf']","['Cuando', 'me', 'casÃ©']","['adv', 'COM#tam', '#', 'A1S#pers', 'vi', 'SC#suf']"
"['i', ""xinb'ee"", ""rik'i"", ""wÃ¡lb'.+""]","['i', '???', 'r-', ""ik'il"", 'wa', '-Ã¡l', ""-ib'""]","['conj', '???', 'pers', 'srel', 's', 'suf', 'RFX']","['Me', 'fuÃ\xad', 'con', 'mi', 'suegro.']","['CONJ#conj', '???', 'E3S#pers', 'srel', 's', 'PP#suf', 'RFX']"
"['antons', ""wÃ¡lb'"", 'xinj', 'xij', 'taq', 'taq', 'laj', 'laq', ""yuuq',+""]","['antonses', '???', 'x-', 'in', '-j', 'x-', 'taq', 'taq', 'laj', 'laq', ""yuuq'""]","['adv', '???', 'tam', 'pers', 'suf', 'tam', 'pl', 'pl', 'prep', '***', 'vt']","['Entoncesmis', 'suegros', 'me', 'mandavan', 'en', 'los', 'pastoreos', '(pastorear)']","['adv', '???', 'COM#tam', 'A1S#pers', 'SC#suf', 'COM#tam', 'PL#pl', 'PL#pl', 'PREP#prep', 'error', 'vt']"
"['xijtaq', 'taq', 'lamaas,+']","['x', 'in-', 'j-', 'taq', '-aq', 'taq', 'lamaas']","['tam', 'pers', 'pers', 'vt', 'suf', 'pl', 'adv']","['Me', 'mandarÃ³n', 'por', 'donde', 'quiera.']","['COM#tam', '#', 'A1S#pers', 'E3S#pers', 'vt', 'PL#suf', 'PL#pl', 'adv']"
"['i', ""xinb'ana'"", 'kumpliir.+']","['i', 'x-', 'in-', ""b'an"", ""-a'"", 'kumpliir']","['conj', 'tam', 'pers', 'vt', '***', 'vi']","['Hice', 'cumplir']","['CONJ#conj', 'COM#tam', 'A1S#pers', 'vt', 'error', 'vi']"
"[""X-in-koj-oon-i'"", 'chuchaq,+']","['chuch', '-aq']","['srel', 'suf']","['Los', 'respetÃ©', 'a', 'ellos.']","['srel', 'PL#suf']"
"['bay', 'tos', 'ri', ""xinb'e"", 'chik+']","['baa', 'entoons', 'ri', 'chik']","['voc', 'adv', 'dem', 'part']","['Baya', 'entonces', 'me', 'fui', 'otra', 'vez.']","['voc', 'adv', 'DEM#dem', 'PART#part']"
"['jno', 'la', 'maas,', 'jno...', 'jno', 'pu', ""miq'iin.+""]","['jono', 'la', 'maas', 'jono', 'jono', 'pi', ""miq'iin""]","['adv', 'prep', 'adv', 'adv', 'adv', 'prep', 'adj']","['Por', 'ay,', 'por', 'tierra', 'caliente.']","['adv', 'PRE#prep', 'adv', 'adv', 'adv', 'PREP#prep', 'adj']"
"['Xintijooj', ""wib'"", 're', 'taq', 'poop,+']","['x', 'in-', 'tijo', '-j', 'w', ""-ib'"", 're', 'taq', 'poop']","['tam', 'pers', 'vt', 'suf', 'pers', 'RFX', 'pron', 'pl', 's']","['AprendÃ\xad', 'hacer', 'los', 'petates.']","['COM#tam', '#', 'A1S#pers', 'vt', 'SC#suf', 'E1S#pers', 'RFX', 'pron', 'PL#pl', 's']"
"['xintijooj', ""wib'"", 're', 'jun', 'opiisyo,+']","['x-', 'in-', 'tijoj', 'w-', ""ib'"", 're', 'jun', 'opiis']","['tam', 'pers', 'vt', 'pref', 'srel', 'part', 'art', 's']","['AprendÃ\xad', 'para', 'un', 'oficio.']","['COM#tam', 'E1S#pers', 'vt', 'E1S#pref', 'REL#srel', 'PART#part', 'art', 's']"
"['juntiir', ""wetaami'n.+""]","['juntiir', 'w', 'etaam', ""-i'n""]","['adv', 'pers', 's', 'part']","['Todo', 'lo', 'sÃ©.']","['adv', 'E1S#pers', '#', 's', 'part']"
"['Wetaam', 'poop,+']","['w', 'etaam', 'poop']","['pers', 's', 's']","['Se', 'petate', '(se', 'hacer', 'petate)']","['E1S#pers', '#', 's', 's']"
"['wetaam,+']","['w-', 'etaam']","['pers', 's']","['SÃ©', '(conosco)']","['E1S#pers', 's']"
"['juntiir', ""xinb'an.+""]","['juntiir', 'x', 'in-', ""b'an""]","['adv', 'tam', 'pers', 'vt']","['Todo', 'lo', 'hice.']","['adv', 'COM#tam', '#', 'A1S#pers', 'vt']"
"[""Xinwa'x"", ""rk'i"", ""wÃ¡lb'"", 'Ã³jr,+']","['r-', ""k'i"", ""Ã¡lib'"", 'Ã³jor']","['pers', 'srel', '***', 'adv']","['Estuve', 'con', 'mi', 'suegro', 'antes.']","['E3S#pers', 'srel', 'error', 'adv']"
